ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Wheel,Color,Airbags,Price,Drive wheels_Front,Drive wheels_Rear,Doors_04-May,Doors_>5
45732352,639,23,1122,2014,4,1,1,2.0,151000,4,0,0,1,4,40976,1,0,1,0
42285726,768,36,868,2012,4,1,5,4.7,167000,8,2,0,1,10,75266,0,0,1,0
45796573,1185,54,619,2009,4,0,5,2.5,115000,6,0,0,1,12,12544,0,0,1,0
45758690,738,8,469,2017,9,0,5,1.4,44800,4,0,0,12,12,17405,1,0,1,0
45809396,502,21,588,2013,3,1,5,1.5,34682,4,0,0,7,4,25365,1,0,1,0
45791848,2534,55,712,2003,4,0,0,2.7,259200,6,0,0,12,4,8467,0,0,1,0
45780785,531,41,785,2012,4,0,5,1.6,116000,4,2,0,12,12,16308,0,0,1,0
45770119,2151,32,688,2009,4,1,5,4.7,264339,8,0,0,1,0,30734,0,0,1,0
45769417,1058,36,517,2012,9,1,1,3.5,128202,6,0,0,1,12,4861,0,1,1,0
45790866,2534,21,930,2003,7,0,4,2.4,226000,4,2,1,0,4,6272,1,0,1,0
45804406,900,27,437,2015,4,1,5,2.4,40715,4,0,0,14,4,43880,1,0,1,0
45754183,1053,41,884,2014,9,1,5,3.5,150752,6,0,0,14,12,3136,1,0,1,0
45802526,694,23,1122,2014,4,1,1,2.2,126410,4,0,0,7,4,41886,1,0,1,0
45801725,583,23,545,2011,9,1,5,1.6,163693,4,0,0,7,4,18531,1,0,1,0
45768394,1293,5,147,2007,9,1,5,5.0,158400,10,2,0,1,12,50178,0,1,1,0
45733289,765,23,1144,2015,9,1,4,2.0,600805,4,0,0,8,4,12544,1,0,1,0
44755180,1079,36,671,2018,4,1,5,2.0,12000,12,2,0,1,12,65545,0,1,1,0
45793975,988,46,1125,2007,7,0,1,1.5,240000,4,1,0,1,6,11604,1,0,1,0
45816531,810,23,545,2016,9,1,5,1.8,215032,4,0,0,3,12,7370,1,0,1,0
45801563,687,23,545,2010,9,1,5,1.6,180093,4,0,0,1,4,11704,1,0,1,0
45786704,702,42,233,2009,3,0,5,1.4,140000,4,1,0,11,6,12231,1,0,1,0
45757668,3836,42,244,1999,2,0,0,1.6,0,4,1,0,14,2,6743,1,0,1,0
45771556,2377,13,1075,2016,9,1,5,5.7,39013,8,0,0,1,12,9565,0,1,1,0
45803369,707,23,1144,2011,9,1,5,2.0,64666,4,0,0,14,4,13423,1,0,1,0
45809981,503,56,224,2012,3,1,5,1.5,33395,4,0,0,12,4,21316,1,0,1,0
45815080,781,56,383,2012,9,1,5,2.5,230336,4,0,0,1,12,5645,1,0,1,0
45654492,1750,32,1066,2008,4,1,2,3.3,224629,6,0,0,12,12,8154,0,0,1,0
44908783,1086,45,409,2012,4,1,5,3.6,98000,6,2,0,1,12,64290,0,0,1,0
44450438,1139,54,619,2009,4,0,4,2.5,189600,4,2,0,4,8,19444,0,0,1,0
45815541,3301,5,122,1992,9,1,5,2.0,300000,6,1,0,6,2,4234,0,1,1,0
45760668,934,54,619,2015,4,1,5,2.5,90392,4,0,0,14,0,6899,0,0,1,0
45812665,1525,36,273,1998,9,0,0,1.8,111111,4,1,0,14,4,6586,0,1,1,0
44549109,2534,39,430,2003,3,0,5,1.2,1000,4,0,1,12,4,1350,1,0,1,0
45803349,639,23,1144,2014,9,1,4,2.0,698359,4,0,0,8,4,8467,1,0,1,0
45809174,891,8,402,2016,4,1,1,2.0,70922,4,0,0,14,4,44865,1,0,1,0
45801464,583,23,205,2011,9,1,1,1.6,70560,4,0,0,14,4,11143,1,0,1,0
45774280,3301,36,40,1992,9,0,0,2.3,220000,4,1,1,1,2,3500,0,1,1,0
45792754,1528,16,1216,2007,6,0,1,2.4,250000,4,1,0,14,0,13172,0,1,1,0
45815460,1273,32,1065,2015,4,1,5,3.5,71939,6,0,0,1,12,3293,0,0,1,0
45772224,2160,54,619,2005,10,0,5,2.0,145576,4,0,1,12,4,8467,0,0,1,0
45805983,585,56,1000,2013,9,1,2,1.8,6500,4,2,0,7,12,17249,1,0,1,0
45815733,761,56,1000,2010,9,0,2,1.8,277000,4,0,0,14,10,14113,1,0,1,0
45648256,781,56,383,2012,9,1,2,2.5,159379,4,0,0,14,12,3136,1,0,1,0
45633647,431,16,636,2016,9,1,2,2.0,194974,4,0,0,1,0,2666,1,0,1,0
45755563,831,21,462,2011,4,1,5,2.4,244067,4,0,0,12,12,1803,1,0,1,0
45803392,642,23,1144,2012,9,1,4,2.0,36545,4,0,0,14,4,8311,1,0,1,0
45810827,1077,23,545,2019,9,1,5,2.0,16013,4,0,0,7,12,1176,1,0,1,0
45770134,1811,32,687,2010,4,1,5,4.6,155821,8,0,0,1,0,39829,0,0,1,0
45731456,777,23,715,2014,7,1,1,2.5,183731,4,0,0,12,4,26528,1,0,1,0
45772231,1272,42,435,2006,2,0,1,1.7,250000,4,1,0,12,2,7527,1,0,1,0
45768873,2160,41,1141,2005,9,0,0,2.5,178000,6,2,1,14,12,9408,0,1,1,0
45772504,1604,36,517,2014,9,1,5,5.5,101424,8,0,0,7,12,32302,0,0,1,0
45785936,503,46,898,2012,10,1,1,1.5,170000,4,1,0,1,6,21639,1,0,1,0
45810460,642,8,945,2012,4,1,1,2.0,228570,4,0,0,7,4,13564,1,0,1,0
45771199,1624,36,517,2009,9,1,1,3.5,266061,6,0,0,1,12,1411,0,0,1,0
40642395,1929,16,691,2001,7,0,5,2.2,11111,5,0,0,2,6,1900,1,0,1,0
45763114,1282,54,821,2008,9,0,5,3.0,138000,6,2,0,1,8,15000,0,0,1,0
45621633,919,5,1309,2012,4,1,1,3.0,70994,6,0,0,1,0,31047,0,0,1,0
45784575,1282,56,1000,2008,3,0,2,1.5,384000,4,3,0,14,0,10036,1,0,1,0
45681629,1712,21,562,2006,7,0,0,3.0,122439,6,0,1,12,10,15994,1,0,1,0
45155817,875,56,1280,2012,3,0,5,1.0,195000,3,3,1,12,2,8000,1,0,1,0
45596142,810,56,450,2016,9,1,5,1.8,128788,4,0,0,1,8,17249,1,0,1,0
45636209,531,41,785,2012,4,1,5,1.6,167405,4,0,0,1,0,8781,0,0,1,0
45522608,2534,59,768,2003,9,1,5,2.0,137000,4,1,0,1,8,7997,1,0,1,0
45716976,1282,16,575,2008,4,0,2,2.3,186254,4,3,0,13,4,17500,0,0,1,0
45816077,1515,10,317,2005,3,0,5,1.8,237000,4,1,0,7,6,5018,1,0,1,0
45791297,835,56,1000,2011,9,0,2,1.8,15000,4,0,0,11,12,17876,1,0,1,0
45782218,3836,36,503,1999,9,0,5,2.4,253000,6,1,0,12,5,8000,0,1,1,0
45806474,1139,59,768,2009,9,0,5,2.5,166400,5,0,0,1,8,10349,1,0,1,0
45797405,1185,23,715,2009,7,1,1,2.5,75988,4,0,0,1,4,17415,1,0,1,0
45571904,717,15,107,2013,1,0,5,1.4,96000,4,2,0,11,8,13172,1,0,0,0
45648333,2155,21,462,2002,4,0,5,2.0,168000,4,1,1,6,4,9722,0,0,1,0
45809038,639,8,402,2014,4,1,1,2.0,146644,4,0,0,14,4,24283,1,0,1,0
45802825,642,23,1122,2012,4,1,1,2.0,68359,4,0,0,12,4,36231,1,0,1,0
45799873,717,5,153,2013,9,1,5,3.0,130000,6,2,0,14,0,73698,0,1,1,0
45787549,2352,59,698,2000,9,0,5,1.8,0,4,0,1,12,8,6586,1,0,1,0
45803003,639,23,1122,2014,4,1,1,2.0,175126,4,0,0,7,4,33908,1,0,1,0
45776468,586,56,1000,2012,3,0,2,1.8,150400,4,0,0,14,6,13172,1,0,1,0
45732830,707,23,1144,2011,9,1,5,2.0,91678,4,0,0,7,4,13495,1,0,1,0
45804649,831,23,1232,2017,4,1,5,1.6,35477,4,0,0,14,4,59338,1,0,1,0
45674758,683,8,1288,2014,3,1,6,1.4,90000,4,3,0,4,8,24462,1,0,1,0
44284487,1475,36,651,1995,4,1,1,3.2,213700,6,2,0,12,8,54882,0,0,1,0
45635147,382,16,636,2015,9,1,2,2.0,100747,4,0,0,6,0,2666,1,0,1,0
45694688,2470,36,1266,2004,7,1,4,3.2,245000,6,2,0,14,4,23521,0,1,0,1
45813625,5681,39,960,1996,4,0,5,2.4,169800,4,0,1,11,2,10349,0,0,0,0
45806771,308,56,1000,2014,3,1,2,1.8,263392,4,0,0,11,12,1882,1,0,1,0
45655116,603,32,1070,2015,4,1,2,3.5,143619,6,0,0,1,12,13956,0,0,1,0
45769665,1172,36,517,2011,9,1,1,3.5,119379,6,0,0,12,12,16621,0,0,1,0
45622167,585,23,545,2013,9,0,5,1.8,50545,4,2,0,7,8,16308,1,0,1,0
45488866,900,28,936,2015,9,0,5,2.4,68000,4,2,0,7,10,15681,1,0,1,0
45774032,915,3,200,2014,3,1,5,3.0,191373,6,0,0,7,0,9565,0,0,1,0
45773902,753,28,936,2012,9,1,5,2.4,125442,4,0,0,7,12,2587,1,0,1,0
45797145,697,23,545,2015,9,1,5,1.8,75000,4,0,0,11,4,29323,1,0,1,0
45806394,2160,55,1187,2005,3,0,5,1.3,23000000,4,1,1,12,7,2300,0,0,1,0
45765598,1172,16,542,2011,4,1,5,3.5,193013,6,0,0,14,12,1960,0,0,1,0
45803164,1076,23,1144,2020,9,1,4,2.0,5305,4,0,0,12,4,63886,1,0,1,0
45774659,779,59,971,2013,9,1,5,2.5,84000,6,2,0,14,12,16935,1,0,1,0
45805906,683,23,545,2014,1,1,5,2.0,100000,4,0,0,1,12,18000,1,0,0,0
45728747,640,53,1058,2013,4,1,1,2.0,152847,4,0,0,12,4,32035,1,0,1,0
45816055,891,23,545,2016,3,1,5,2.0,40464,4,0,0,7,12,3136,1,0,1,0
45802475,531,23,737,2012,3,1,1,1.6,151136,4,0,0,14,4,17346,1,0,1,0
45782037,707,3,181,2011,3,1,5,2.0,145600,4,1,0,1,8,19444,1,0,1,0
45786818,1111,21,588,2012,3,0,2,1.3,60000,4,3,1,1,4,8467,1,0,1,0
45656636,574,21,756,2010,3,1,2,1.3,187312,4,0,0,2,0,1803,1,0,1,0
45721579,475,8,1284,2012,9,0,2,1.4,100000,4,0,0,12,8,16621,1,0,1,0
45811797,2160,59,768,2005,9,1,5,2.5,186000,5,2,0,2,12,10976,1,0,1,0
45803359,891,23,1144,2016,9,1,4,2.0,261167,4,0,0,12,4,15681,1,0,1,0
45804910,1017,23,1232,2017,4,1,1,2.0,30008,4,0,0,12,4,48998,1,0,1,0
45809283,447,21,588,2013,3,1,5,1.3,131200,4,0,0,1,4,13397,1,0,1,0
45742723,2185,36,273,1996,9,0,0,1.8,220000,4,1,0,12,4,4858,0,1,1,0
45769023,2155,41,875,2002,9,0,5,1.2,0,4,0,1,15,2,5331,1,0,1,0
45768555,1750,56,726,2008,9,1,2,3.3,334414,6,0,0,14,12,12544,0,0,1,0
45772014,1598,36,517,2008,9,1,1,3.0,175614,6,0,0,1,12,2430,0,1,1,0
45797227,528,23,545,2014,9,1,5,1.6,75000,4,0,0,12,4,10976,1,0,1,0
45715219,1282,56,1000,2008,9,1,5,1.5,200211,4,0,0,14,8,14426,0,1,1,0
45788289,2160,42,1250,2005,9,0,5,2.2,0,4,0,0,12,0,9722,1,0,1,0
45776451,900,13,484,2015,9,1,5,2.4,111000,4,2,0,7,10,17876,1,0,1,0
45650442,1537,56,726,2009,4,1,2,3.3,251278,6,0,0,6,12,7997,0,0,1,0
45802140,862,23,715,2011,10,1,1,2.5,242251,4,0,0,12,4,18647,1,0,1,0
45796872,1249,23,715,2017,10,1,1,2.5,143629,4,0,0,1,4,35846,1,0,1,0
43375256,1030,36,517,2010,9,1,5,3.5,18000,6,2,0,1,12,29793,0,1,1,0
45489179,2155,16,1216,2002,2,0,1,2.4,111111,4,1,0,14,2,11604,0,1,0,0
45396672,915,3,200,2014,9,1,5,3.0,50000,1,2,0,1,12,67000,0,0,1,0
45781326,584,36,288,2014,9,1,5,1.8,81600,4,2,0,2,12,14113,0,1,1,0
45803486,891,23,1144,2016,9,1,4,2.0,369695,4,0,0,8,4,13172,1,0,1,0
45809036,790,11,807,2009,9,1,5,1.6,117685,4,0,0,12,4,5883,1,0,1,0
44662044,768,15,110,2012,9,0,5,1.4,100000,6,1,0,7,6,17562,1,0,0,0
45786808,768,4,438,2012,1,1,5,4.0,55500,8,2,0,1,0,219527,0,0,0,0
45809720,530,23,557,2013,3,1,1,1.6,122000,4,2,0,14,6,19444,1,0,1,0
42139958,364,59,1238,2013,3,0,5,1.0,52000,3,2,0,2,4,9000,1,0,1,0
45786558,494,39,904,2015,3,0,5,1.2,80000,3,2,0,2,16,10036,1,0,1,0
45349751,717,56,1008,2013,3,0,2,1.5,181000,4,0,0,14,3,18503,1,0,1,0
45815917,1202,23,1122,2017,4,1,5,2.4,91782,4,0,0,8,12,8311,1,0,1,0
45768602,717,56,224,2013,9,0,2,1.5,1000,4,0,1,14,6,13350,1,0,1,0
45780717,683,56,444,2014,9,1,5,1.6,112000,4,2,0,14,8,28852,1,0,1,0
