Prod. year,Levy,Mileage,Engine volume,Manufacturer,Model,Fuel type,Leather interior,Gear box type,Category,Price
2013,779,225510.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,314
2007,1282,76198.0,2.0,CHEVROLET,Captiva,Diesel,Yes,Automatic,Jeep,6429
2010,1399,189530.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,12388
2012,642,218525.0,2.0,CHEVROLET,Orlando,Diesel,Yes,Automatic,Jeep,14834
2000,2146,25000.0,3.0,BMW,X5,LPG,Yes,Tiptronic,Jeep,10036
2011,871,192000.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,28539
2014,394,0.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,10349
1996,1481,232000.0,2.5,BMW,525 Vanos,Petrol,Yes,Manual,Sedan,4704
2015,1646,129931.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Sedan,784
2010,1399,256914.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,8938
2008,1434,245000.0,3.0,BMW,X5,Petrol,Yes,Automatic,Jeep,24148
2011,490,216858.0,1.2999999523162842,HONDA,Insight,Hybrid,Yes,Automatic,Hatchback,251
2011,862,82603.0,2.5,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,12544
2010,687,142460.0,1.600000023841858,DAEWOO,Lacetti,Petrol,Yes,Automatic,Sedan,8386
2015,765,409910.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,15367
2010,836,120000.0,2.0,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,18826
2013,530,74000.0,1.600000023841858,FORD,Fiesta,Petrol,Yes,Tiptronic,Hatchback,11447
2015,765,111694.0,2.0,FORD,Fusion TITANIUM,Petrol,Yes,Automatic,Sedan,18660
2011,871,112000.0,3.0,BMW,530,Petrol,Yes,Tiptronic,Sedan,32929
2013,729,113000.0,1.2999999523162842,HONDA,FIT,Petrol,No,Variator,Sedan,14113
2012,781,149000.0,2.5,TOYOTA,Camry SPORT,Petrol,Yes,Tiptronic,Sedan,11604
2015,697,219232.0,1.7999999523162842,VOLKSWAGEN,Golf,Petrol,Yes,Automatic,Hatchback,1411
2010,1024,224000.0,2.5,TOYOTA,Camry,Petrol,No,Tiptronic,Sedan,16778
2011,871,11111.0,3.5,MERCEDES-BENZ,GLK 350,Petrol,Yes,Tiptronic,Jeep,22580
2009,1145,240000.0,5.0,BMW,X6,Petrol,Yes,Tiptronic,Jeep,37633
2011,1451,176000.0,4.400000095367432,BMW,550,Petrol,Yes,Tiptronic,Sedan,30420
2016,810,39728.0,1.7999999523162842,TOYOTA,Corolla S,Petrol,Yes,Automatic,Sedan,21169
2015,934,89786.0,2.5,TOYOTA,RAV 4,Petrol,Yes,Automatic,Jeep,28225
2011,871,263000.0,3.0,BMW,X5,Diesel,Yes,Tiptronic,Jeep,43905
2014,684,68000.0,1.7999999523162842,VOLKSWAGEN,Passat,Petrol,Yes,Tiptronic,Sedan,25089
2011,707,161345.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,21652
2013,729,160000.0,1.7999999523162842,CHEVROLET,Sonic,Petrol,No,Manual,Hatchback,12544
2007,988,160000.0,1.5,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,11604
2013,530,152000.0,1.600000023841858,FORD,Fusion,Petrol,No,Tiptronic,Sedan,18817
2010,761,315000.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,8781
2011,645,143000.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Sedan,18817
2015,765,62575.0,2.0,SSANGYONG,REXTON,Diesel,Yes,Automatic,Jeep,49751
2015,765,111285.0,2.0,SUBARU,XV,Petrol,Yes,Automatic,Sedan,706
2013,729,186000.0,1.5,TOYOTA,Aqua,Hybrid,No,Automatic,Hatchback,15053
2000,2146,125000.0,1.2999999523162842,SUZUKI,Jimny,Petrol,No,Manual,Jeep,12544
2012,780,137600.0,1.399999976158142,FIAT,500,Petrol,Yes,Manual,Sedan,14113
1998,1700,2222222.0,2.5,FORD,Transit,Diesel,No,Manual,Microbus,9408
2007,1288,180000.0,2.0,MERCEDES-BENZ,Vito,Diesel,No,Manual,Goods wagon,15681
2014,584,48000.0,1.7999999523162842,NISSAN,Fuga,Petrol,No,Automatic,Sedan,17000
2010,1067,264000.0,2.5,TOYOTA,Camry,Petrol,No,Tiptronic,Sedan,19130
2012,642,120000.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,28909
2010,761,46527.0,1.7999999523162842,DAEWOO,Lacetti,Petrol,Yes,Automatic,Sedan,10192
1996,1481,23000.0,2.0,OPEL,Vectra,CNG,No,Manual,Sedan,3500
2015,382,88795.0,2.0,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,2587
2016,1493,118133.0,3.5,LEXUS,RX 350,Petrol,Yes,Automatic,Jeep,470
2012,1363,255406.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,54568
2010,1324,226198.0,3.299999952316284,TOYOTA,Highlander,Hybrid,Yes,Automatic,Sedan,1725
2014,639,62000.0,2.0,HYUNDAI,Sonata,Petrol,Yes,Tiptronic,Sedan,31361
2010,761,138160.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Sedan,14740
2011,645,326325.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Jeep,314
2011,871,11111.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,25
2015,1104,45916.0,3.0,BMW,640 M,Petrol,Yes,Tiptronic,Sedan,103491
2011,1172,230696.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,627
2016,730,35398.0,1.600000023841858,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,44134
2017,1017,319682.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,11604
2015,765,61298.0,2.0,HYUNDAI,Genesis,Petrol,Yes,Automatic,Coupe,29777
2014,749,173925.0,2.4000000953674316,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,282
2014,1053,146395.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,1882
2015,900,66100.0,2.4000000953674316,KIA,Optima,Petrol,No,Tiptronic,Sedan,17876
2009,1185,193614.0,2.5,FORD,Escape,Hybrid,Yes,Automatic,Jeep,220
1999,3138,150000.0,3.5,NISSAN,Elgrand,Petrol,No,Tiptronic,Minivan,12544
2010,1736,0.0,4.400000095367432,BMW,X6,Petrol,Yes,Automatic,Jeep,1176
2011,707,151144.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,25591
2018,1327,60915.0,2.5,TOYOTA,Camry,Petrol,Yes,Automatic,Sedan,220
2012,1058,68200.0,3.5,TOYOTA,Highlander,Hybrid,No,Automatic,Jeep,45473
2010,1399,114382.0,3.5,LEXUS,RX 350,Petrol,Yes,Automatic,Jeep,47120
2009,790,79355.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,12287
2011,1172,129000.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Tiptronic,Sedan,35124
2005,2652,152200.0,2.200000047683716,ALFA ROMEO,159,Petrol,No,Manual,Sedan,12544
2002,1797,160000.0,1.7999999523162842,MITSUBISHI,Mirage,Petrol,No,Automatic,Sedan,7500
2013,640,174619.0,2.0,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,282
2004,2342,156000.0,2.200000047683716,OPEL,Vectra,Diesel,No,Automatic,Goods wagon,7527
2012,531,134000.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,19933
2007,1310,200000.0,1.5,TOYOTA,Prius,Hybrid,No,Automatic,Sedan,13172
2015,697,85000.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,No,Tiptronic,Sedan,18817
2002,1797,220000.0,2.5,BMW,325,CNG,Yes,Tiptronic,Sedan,12544
1992,3301,168000.0,1.7999999523162842,FORD,Sierra DIZEL,Diesel,No,Manual,Sedan,5642
2005,2652,200000.0,1.2999999523162842,SUZUKI,Swift,Petrol,No,Manual,Sedan,800
2013,1055,0.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Coupe,627
2012,531,104000.0,1.600000023841858,NISSAN,Juke,Petrol,Yes,Automatic,Hatchback,21953
2009,1145,120345.0,3.0,MERCEDES-BENZ,ML 320,Diesel,Yes,Tiptronic,Jeep,39201
